"","date","series_id","value","realtime_start","realtime_end"
"1",2001-07-01,"GS1M",3.67,2021-02-24,2021-02-24
"2",2001-08-01,"GS1M",3.53,2021-02-24,2021-02-24
"3",2001-09-01,"GS1M",2.68,2021-02-24,2021-02-24
"4",2001-10-01,"GS1M",2.27,2021-02-24,2021-02-24
"5",2001-11-01,"GS1M",1.99,2021-02-24,2021-02-24
"6",2001-12-01,"GS1M",1.72,2021-02-24,2021-02-24
"7",2002-01-01,"GS1M",1.68,2021-02-24,2021-02-24
"8",2002-02-01,"GS1M",1.74,2021-02-24,2021-02-24
"9",2002-03-01,"GS1M",1.79,2021-02-24,2021-02-24
"10",2002-04-01,"GS1M",1.72,2021-02-24,2021-02-24
"11",2002-05-01,"GS1M",1.74,2021-02-24,2021-02-24
"12",2002-06-01,"GS1M",1.72,2021-02-24,2021-02-24
"13",2002-07-01,"GS1M",1.72,2021-02-24,2021-02-24
"14",2002-08-01,"GS1M",1.68,2021-02-24,2021-02-24
"15",2002-09-01,"GS1M",1.67,2021-02-24,2021-02-24
"16",2002-10-01,"GS1M",1.62,2021-02-24,2021-02-24
"17",2002-11-01,"GS1M",1.26,2021-02-24,2021-02-24
"18",2002-12-01,"GS1M",1.2,2021-02-24,2021-02-24
"19",2003-01-01,"GS1M",1.17,2021-02-24,2021-02-24
"20",2003-02-01,"GS1M",1.2,2021-02-24,2021-02-24
"21",2003-03-01,"GS1M",1.18,2021-02-24,2021-02-24
"22",2003-04-01,"GS1M",1.16,2021-02-24,2021-02-24
"23",2003-05-01,"GS1M",1.08,2021-02-24,2021-02-24
"24",2003-06-01,"GS1M",0.97,2021-02-24,2021-02-24
"25",2003-07-01,"GS1M",0.9,2021-02-24,2021-02-24
"26",2003-08-01,"GS1M",0.95,2021-02-24,2021-02-24
"27",2003-09-01,"GS1M",0.91,2021-02-24,2021-02-24
"28",2003-10-01,"GS1M",0.91,2021-02-24,2021-02-24
"29",2003-11-01,"GS1M",0.94,2021-02-24,2021-02-24
"30",2003-12-01,"GS1M",0.89,2021-02-24,2021-02-24
"31",2004-01-01,"GS1M",0.85,2021-02-24,2021-02-24
"32",2004-02-01,"GS1M",0.92,2021-02-24,2021-02-24
"33",2004-03-01,"GS1M",0.96,2021-02-24,2021-02-24
"34",2004-04-01,"GS1M",0.91,2021-02-24,2021-02-24
"35",2004-05-01,"GS1M",0.91,2021-02-24,2021-02-24
"36",2004-06-01,"GS1M",1.05,2021-02-24,2021-02-24
"37",2004-07-01,"GS1M",1.19,2021-02-24,2021-02-24
"38",2004-08-01,"GS1M",1.37,2021-02-24,2021-02-24
"39",2004-09-01,"GS1M",1.55,2021-02-24,2021-02-24
"40",2004-10-01,"GS1M",1.63,2021-02-24,2021-02-24
"41",2004-11-01,"GS1M",1.92,2021-02-24,2021-02-24
"42",2004-12-01,"GS1M",1.96,2021-02-24,2021-02-24
"43",2005-01-01,"GS1M",2.05,2021-02-24,2021-02-24
"44",2005-02-01,"GS1M",2.36,2021-02-24,2021-02-24
"45",2005-03-01,"GS1M",2.65,2021-02-24,2021-02-24
"46",2005-04-01,"GS1M",2.64,2021-02-24,2021-02-24
"47",2005-05-01,"GS1M",2.65,2021-02-24,2021-02-24
"48",2005-06-01,"GS1M",2.83,2021-02-24,2021-02-24
"49",2005-07-01,"GS1M",3.1,2021-02-24,2021-02-24
"50",2005-08-01,"GS1M",3.34,2021-02-24,2021-02-24
"51",2005-09-01,"GS1M",3.23,2021-02-24,2021-02-24
"52",2005-10-01,"GS1M",3.51,2021-02-24,2021-02-24
"53",2005-11-01,"GS1M",3.91,2021-02-24,2021-02-24
"54",2005-12-01,"GS1M",3.69,2021-02-24,2021-02-24
"55",2006-01-01,"GS1M",4.12,2021-02-24,2021-02-24
"56",2006-02-01,"GS1M",4.38,2021-02-24,2021-02-24
"57",2006-03-01,"GS1M",4.55,2021-02-24,2021-02-24
"58",2006-04-01,"GS1M",4.61,2021-02-24,2021-02-24
"59",2006-05-01,"GS1M",4.7,2021-02-24,2021-02-24
"60",2006-06-01,"GS1M",4.71,2021-02-24,2021-02-24
"61",2006-07-01,"GS1M",4.9,2021-02-24,2021-02-24
"62",2006-08-01,"GS1M",5.16,2021-02-24,2021-02-24
"63",2006-09-01,"GS1M",4.77,2021-02-24,2021-02-24
"64",2006-10-01,"GS1M",4.97,2021-02-24,2021-02-24
"65",2006-11-01,"GS1M",5.21,2021-02-24,2021-02-24
"66",2006-12-01,"GS1M",4.87,2021-02-24,2021-02-24
"67",2007-01-01,"GS1M",4.94,2021-02-24,2021-02-24
"68",2007-02-01,"GS1M",5.18,2021-02-24,2021-02-24
"69",2007-03-01,"GS1M",5.21,2021-02-24,2021-02-24
"70",2007-04-01,"GS1M",4.99,2021-02-24,2021-02-24
"71",2007-05-01,"GS1M",4.82,2021-02-24,2021-02-24
"72",2007-06-01,"GS1M",4.52,2021-02-24,2021-02-24
"73",2007-07-01,"GS1M",4.82,2021-02-24,2021-02-24
"74",2007-08-01,"GS1M",4.2,2021-02-24,2021-02-24
"75",2007-09-01,"GS1M",3.78,2021-02-24,2021-02-24
"76",2007-10-01,"GS1M",3.81,2021-02-24,2021-02-24
"77",2007-11-01,"GS1M",3.68,2021-02-24,2021-02-24
"78",2007-12-01,"GS1M",2.86,2021-02-24,2021-02-24
"79",2008-01-01,"GS1M",2.74,2021-02-24,2021-02-24
"80",2008-02-01,"GS1M",2.27,2021-02-24,2021-02-24
"81",2008-03-01,"GS1M",1.35,2021-02-24,2021-02-24
"82",2008-04-01,"GS1M",1.07,2021-02-24,2021-02-24
"83",2008-05-01,"GS1M",1.76,2021-02-24,2021-02-24
"84",2008-06-01,"GS1M",1.72,2021-02-24,2021-02-24
"85",2008-07-01,"GS1M",1.6,2021-02-24,2021-02-24
"86",2008-08-01,"GS1M",1.68,2021-02-24,2021-02-24
"87",2008-09-01,"GS1M",0.89,2021-02-24,2021-02-24
"88",2008-10-01,"GS1M",0.29,2021-02-24,2021-02-24
"89",2008-11-01,"GS1M",0.09,2021-02-24,2021-02-24
"90",2008-12-01,"GS1M",0.03,2021-02-24,2021-02-24
"91",2009-01-01,"GS1M",0.05,2021-02-24,2021-02-24
"92",2009-02-01,"GS1M",0.22,2021-02-24,2021-02-24
"93",2009-03-01,"GS1M",0.1,2021-02-24,2021-02-24
"94",2009-04-01,"GS1M",0.1,2021-02-24,2021-02-24
"95",2009-05-01,"GS1M",0.14,2021-02-24,2021-02-24
"96",2009-06-01,"GS1M",0.1,2021-02-24,2021-02-24
"97",2009-07-01,"GS1M",0.15,2021-02-24,2021-02-24
"98",2009-08-01,"GS1M",0.12,2021-02-24,2021-02-24
"99",2009-09-01,"GS1M",0.06,2021-02-24,2021-02-24
"100",2009-10-01,"GS1M",0.04,2021-02-24,2021-02-24
"101",2009-11-01,"GS1M",0.05,2021-02-24,2021-02-24
"102",2009-12-01,"GS1M",0.03,2021-02-24,2021-02-24
"103",2010-01-01,"GS1M",0.02,2021-02-24,2021-02-24
"104",2010-02-01,"GS1M",0.06,2021-02-24,2021-02-24
"105",2010-03-01,"GS1M",0.12,2021-02-24,2021-02-24
"106",2010-04-01,"GS1M",0.15,2021-02-24,2021-02-24
"107",2010-05-01,"GS1M",0.15,2021-02-24,2021-02-24
"108",2010-06-01,"GS1M",0.08,2021-02-24,2021-02-24
"109",2010-07-01,"GS1M",0.16,2021-02-24,2021-02-24
"110",2010-08-01,"GS1M",0.15,2021-02-24,2021-02-24
"111",2010-09-01,"GS1M",0.12,2021-02-24,2021-02-24
"112",2010-10-01,"GS1M",0.14,2021-02-24,2021-02-24
"113",2010-11-01,"GS1M",0.13,2021-02-24,2021-02-24
"114",2010-12-01,"GS1M",0.09,2021-02-24,2021-02-24
"115",2011-01-01,"GS1M",0.14,2021-02-24,2021-02-24
"116",2011-02-01,"GS1M",0.11,2021-02-24,2021-02-24
"117",2011-03-01,"GS1M",0.06,2021-02-24,2021-02-24
"118",2011-04-01,"GS1M",0.03,2021-02-24,2021-02-24
"119",2011-05-01,"GS1M",0.02,2021-02-24,2021-02-24
"120",2011-06-01,"GS1M",0.02,2021-02-24,2021-02-24
"121",2011-07-01,"GS1M",0.04,2021-02-24,2021-02-24
"122",2011-08-01,"GS1M",0.02,2021-02-24,2021-02-24
"123",2011-09-01,"GS1M",0.01,2021-02-24,2021-02-24
"124",2011-10-01,"GS1M",0.01,2021-02-24,2021-02-24
"125",2011-11-01,"GS1M",0.01,2021-02-24,2021-02-24
"126",2011-12-01,"GS1M",0,2021-02-24,2021-02-24
"127",2012-01-01,"GS1M",0.02,2021-02-24,2021-02-24
"128",2012-02-01,"GS1M",0.06,2021-02-24,2021-02-24
"129",2012-03-01,"GS1M",0.06,2021-02-24,2021-02-24
"130",2012-04-01,"GS1M",0.07,2021-02-24,2021-02-24
"131",2012-05-01,"GS1M",0.07,2021-02-24,2021-02-24
"132",2012-06-01,"GS1M",0.05,2021-02-24,2021-02-24
"133",2012-07-01,"GS1M",0.07,2021-02-24,2021-02-24
"134",2012-08-01,"GS1M",0.09,2021-02-24,2021-02-24
"135",2012-09-01,"GS1M",0.08,2021-02-24,2021-02-24
"136",2012-10-01,"GS1M",0.11,2021-02-24,2021-02-24
"137",2012-11-01,"GS1M",0.12,2021-02-24,2021-02-24
"138",2012-12-01,"GS1M",0.04,2021-02-24,2021-02-24
"139",2013-01-01,"GS1M",0.05,2021-02-24,2021-02-24
"140",2013-02-01,"GS1M",0.08,2021-02-24,2021-02-24
"141",2013-03-01,"GS1M",0.08,2021-02-24,2021-02-24
"142",2013-04-01,"GS1M",0.05,2021-02-24,2021-02-24
"143",2013-05-01,"GS1M",0.02,2021-02-24,2021-02-24
"144",2013-06-01,"GS1M",0.03,2021-02-24,2021-02-24
"145",2013-07-01,"GS1M",0.02,2021-02-24,2021-02-24
"146",2013-08-01,"GS1M",0.04,2021-02-24,2021-02-24
"147",2013-09-01,"GS1M",0.02,2021-02-24,2021-02-24
"148",2013-10-01,"GS1M",0.11,2021-02-24,2021-02-24
"149",2013-11-01,"GS1M",0.05,2021-02-24,2021-02-24
"150",2013-12-01,"GS1M",0.02,2021-02-24,2021-02-24
"151",2014-01-01,"GS1M",0.02,2021-02-24,2021-02-24
"152",2014-02-01,"GS1M",0.05,2021-02-24,2021-02-24
"153",2014-03-01,"GS1M",0.05,2021-02-24,2021-02-24
"154",2014-04-01,"GS1M",0.02,2021-02-24,2021-02-24
"155",2014-05-01,"GS1M",0.03,2021-02-24,2021-02-24
"156",2014-06-01,"GS1M",0.02,2021-02-24,2021-02-24
"157",2014-07-01,"GS1M",0.02,2021-02-24,2021-02-24
"158",2014-08-01,"GS1M",0.03,2021-02-24,2021-02-24
"159",2014-09-01,"GS1M",0.01,2021-02-24,2021-02-24
"160",2014-10-01,"GS1M",0.02,2021-02-24,2021-02-24
"161",2014-11-01,"GS1M",0.04,2021-02-24,2021-02-24
