"","date","series_id","value","realtime_start","realtime_end"
"1",1976-06-01,"GS2",7.06,2021-02-24,2021-02-24
"2",1976-07-01,"GS2",6.85,2021-02-24,2021-02-24
"3",1976-08-01,"GS2",6.63,2021-02-24,2021-02-24
"4",1976-09-01,"GS2",6.42,2021-02-24,2021-02-24
"5",1976-10-01,"GS2",5.98,2021-02-24,2021-02-24
"6",1976-11-01,"GS2",5.81,2021-02-24,2021-02-24
"7",1976-12-01,"GS2",5.38,2021-02-24,2021-02-24
"8",1977-01-01,"GS2",5.9,2021-02-24,2021-02-24
"9",1977-02-01,"GS2",6.09,2021-02-24,2021-02-24
"10",1977-03-01,"GS2",6.09,2021-02-24,2021-02-24
"11",1977-04-01,"GS2",5.96,2021-02-24,2021-02-24
"12",1977-05-01,"GS2",6.25,2021-02-24,2021-02-24
"13",1977-06-01,"GS2",6.13,2021-02-24,2021-02-24
"14",1977-07-01,"GS2",6.27,2021-02-24,2021-02-24
"15",1977-08-01,"GS2",6.61,2021-02-24,2021-02-24
"16",1977-09-01,"GS2",6.71,2021-02-24,2021-02-24
"17",1977-10-01,"GS2",7.11,2021-02-24,2021-02-24
"18",1977-11-01,"GS2",7.14,2021-02-24,2021-02-24
"19",1977-12-01,"GS2",7.18,2021-02-24,2021-02-24
"20",1978-01-01,"GS2",7.49,2021-02-24,2021-02-24
"21",1978-02-01,"GS2",7.57,2021-02-24,2021-02-24
"22",1978-03-01,"GS2",7.58,2021-02-24,2021-02-24
"23",1978-04-01,"GS2",7.74,2021-02-24,2021-02-24
"24",1978-05-01,"GS2",8.01,2021-02-24,2021-02-24
"25",1978-06-01,"GS2",8.24,2021-02-24,2021-02-24
"26",1978-07-01,"GS2",8.49,2021-02-24,2021-02-24
"27",1978-08-01,"GS2",8.37,2021-02-24,2021-02-24
"28",1978-09-01,"GS2",8.57,2021-02-24,2021-02-24
"29",1978-10-01,"GS2",8.85,2021-02-24,2021-02-24
"30",1978-11-01,"GS2",9.42,2021-02-24,2021-02-24
"31",1978-12-01,"GS2",9.72,2021-02-24,2021-02-24
"32",1979-01-01,"GS2",9.86,2021-02-24,2021-02-24
"33",1979-02-01,"GS2",9.72,2021-02-24,2021-02-24
"34",1979-03-01,"GS2",9.79,2021-02-24,2021-02-24
"35",1979-04-01,"GS2",9.78,2021-02-24,2021-02-24
"36",1979-05-01,"GS2",9.78,2021-02-24,2021-02-24
"37",1979-06-01,"GS2",9.22,2021-02-24,2021-02-24
"38",1979-07-01,"GS2",9.14,2021-02-24,2021-02-24
"39",1979-08-01,"GS2",9.46,2021-02-24,2021-02-24
"40",1979-09-01,"GS2",10.06,2021-02-24,2021-02-24
"41",1979-10-01,"GS2",11.49,2021-02-24,2021-02-24
"42",1979-11-01,"GS2",11.81,2021-02-24,2021-02-24
"43",1979-12-01,"GS2",11.39,2021-02-24,2021-02-24
"44",1980-01-01,"GS2",11.5,2021-02-24,2021-02-24
"45",1980-02-01,"GS2",13.42,2021-02-24,2021-02-24
"46",1980-03-01,"GS2",14.88,2021-02-24,2021-02-24
"47",1980-04-01,"GS2",12.5,2021-02-24,2021-02-24
"48",1980-05-01,"GS2",9.45,2021-02-24,2021-02-24
"49",1980-06-01,"GS2",8.73,2021-02-24,2021-02-24
"50",1980-07-01,"GS2",9.03,2021-02-24,2021-02-24
"51",1980-08-01,"GS2",10.53,2021-02-24,2021-02-24
"52",1980-09-01,"GS2",11.57,2021-02-24,2021-02-24
"53",1980-10-01,"GS2",12.09,2021-02-24,2021-02-24
"54",1980-11-01,"GS2",13.51,2021-02-24,2021-02-24
"55",1980-12-01,"GS2",14.08,2021-02-24,2021-02-24
"56",1981-01-01,"GS2",13.26,2021-02-24,2021-02-24
"57",1981-02-01,"GS2",13.92,2021-02-24,2021-02-24
"58",1981-03-01,"GS2",13.57,2021-02-24,2021-02-24
"59",1981-04-01,"GS2",14.15,2021-02-24,2021-02-24
"60",1981-05-01,"GS2",15.46,2021-02-24,2021-02-24
"61",1981-06-01,"GS2",14.51,2021-02-24,2021-02-24
"62",1981-07-01,"GS2",15.35,2021-02-24,2021-02-24
"63",1981-08-01,"GS2",16.28,2021-02-24,2021-02-24
"64",1981-09-01,"GS2",16.46,2021-02-24,2021-02-24
"65",1981-10-01,"GS2",15.54,2021-02-24,2021-02-24
"66",1981-11-01,"GS2",12.88,2021-02-24,2021-02-24
"67",1981-12-01,"GS2",13.29,2021-02-24,2021-02-24
"68",1982-01-01,"GS2",14.57,2021-02-24,2021-02-24
"69",1982-02-01,"GS2",14.82,2021-02-24,2021-02-24
"70",1982-03-01,"GS2",14.19,2021-02-24,2021-02-24
"71",1982-04-01,"GS2",14.2,2021-02-24,2021-02-24
"72",1982-05-01,"GS2",13.78,2021-02-24,2021-02-24
"73",1982-06-01,"GS2",14.47,2021-02-24,2021-02-24
"74",1982-07-01,"GS2",13.8,2021-02-24,2021-02-24
"75",1982-08-01,"GS2",12.32,2021-02-24,2021-02-24
"76",1982-09-01,"GS2",11.78,2021-02-24,2021-02-24
"77",1982-10-01,"GS2",10.19,2021-02-24,2021-02-24
"78",1982-11-01,"GS2",9.8,2021-02-24,2021-02-24
"79",1982-12-01,"GS2",9.66,2021-02-24,2021-02-24
"80",1983-01-01,"GS2",9.33,2021-02-24,2021-02-24
"81",1983-02-01,"GS2",9.64,2021-02-24,2021-02-24
"82",1983-03-01,"GS2",9.66,2021-02-24,2021-02-24
"83",1983-04-01,"GS2",9.57,2021-02-24,2021-02-24
"84",1983-05-01,"GS2",9.49,2021-02-24,2021-02-24
"85",1983-06-01,"GS2",10.18,2021-02-24,2021-02-24
"86",1983-07-01,"GS2",10.69,2021-02-24,2021-02-24
"87",1983-08-01,"GS2",11.07,2021-02-24,2021-02-24
"88",1983-09-01,"GS2",10.79,2021-02-24,2021-02-24
"89",1983-10-01,"GS2",10.57,2021-02-24,2021-02-24
"90",1983-11-01,"GS2",10.66,2021-02-24,2021-02-24
"91",1983-12-01,"GS2",10.84,2021-02-24,2021-02-24
"92",1984-01-01,"GS2",10.64,2021-02-24,2021-02-24
"93",1984-02-01,"GS2",10.79,2021-02-24,2021-02-24
"94",1984-03-01,"GS2",11.31,2021-02-24,2021-02-24
"95",1984-04-01,"GS2",11.69,2021-02-24,2021-02-24
"96",1984-05-01,"GS2",12.47,2021-02-24,2021-02-24
"97",1984-06-01,"GS2",12.91,2021-02-24,2021-02-24
"98",1984-07-01,"GS2",12.88,2021-02-24,2021-02-24
"99",1984-08-01,"GS2",12.43,2021-02-24,2021-02-24
"100",1984-09-01,"GS2",12.2,2021-02-24,2021-02-24
"101",1984-10-01,"GS2",11.6,2021-02-24,2021-02-24
"102",1984-11-01,"GS2",10.65,2021-02-24,2021-02-24
"103",1984-12-01,"GS2",10.18,2021-02-24,2021-02-24
"104",1985-01-01,"GS2",9.93,2021-02-24,2021-02-24
"105",1985-02-01,"GS2",10.17,2021-02-24,2021-02-24
"106",1985-03-01,"GS2",10.71,2021-02-24,2021-02-24
"107",1985-04-01,"GS2",10.09,2021-02-24,2021-02-24
"108",1985-05-01,"GS2",9.39,2021-02-24,2021-02-24
"109",1985-06-01,"GS2",8.69,2021-02-24,2021-02-24
"110",1985-07-01,"GS2",8.77,2021-02-24,2021-02-24
"111",1985-08-01,"GS2",8.94,2021-02-24,2021-02-24
"112",1985-09-01,"GS2",8.98,2021-02-24,2021-02-24
"113",1985-10-01,"GS2",8.86,2021-02-24,2021-02-24
"114",1985-11-01,"GS2",8.58,2021-02-24,2021-02-24
"115",1985-12-01,"GS2",8.15,2021-02-24,2021-02-24
"116",1986-01-01,"GS2",8.14,2021-02-24,2021-02-24
"117",1986-02-01,"GS2",7.97,2021-02-24,2021-02-24
"118",1986-03-01,"GS2",7.21,2021-02-24,2021-02-24
"119",1986-04-01,"GS2",6.7,2021-02-24,2021-02-24
"120",1986-05-01,"GS2",7.07,2021-02-24,2021-02-24
"121",1986-06-01,"GS2",7.18,2021-02-24,2021-02-24
"122",1986-07-01,"GS2",6.67,2021-02-24,2021-02-24
"123",1986-08-01,"GS2",6.33,2021-02-24,2021-02-24
"124",1986-09-01,"GS2",6.35,2021-02-24,2021-02-24
"125",1986-10-01,"GS2",6.28,2021-02-24,2021-02-24
