"","date","series_id","value","realtime_start","realtime_end"
"1",1981-09-01,"GS3M",15.61,2021-02-24,2021-02-24
"2",1981-10-01,"GS3M",14.23,2021-02-24,2021-02-24
"3",1981-11-01,"GS3M",11.35,2021-02-24,2021-02-24
"4",1981-12-01,"GS3M",11.32,2021-02-24,2021-02-24
"5",1982-01-01,"GS3M",12.92,2021-02-24,2021-02-24
"6",1982-02-01,"GS3M",14.28,2021-02-24,2021-02-24
"7",1982-03-01,"GS3M",13.31,2021-02-24,2021-02-24
"8",1982-04-01,"GS3M",13.34,2021-02-24,2021-02-24
"9",1982-05-01,"GS3M",12.71,2021-02-24,2021-02-24
"10",1982-06-01,"GS3M",13.08,2021-02-24,2021-02-24
"11",1982-07-01,"GS3M",11.86,2021-02-24,2021-02-24
"12",1982-08-01,"GS3M",9,2021-02-24,2021-02-24
"13",1982-09-01,"GS3M",8.19,2021-02-24,2021-02-24
"14",1982-10-01,"GS3M",7.97,2021-02-24,2021-02-24
"15",1982-11-01,"GS3M",8.35,2021-02-24,2021-02-24
"16",1982-12-01,"GS3M",8.2,2021-02-24,2021-02-24
"17",1983-01-01,"GS3M",8.12,2021-02-24,2021-02-24
"18",1983-02-01,"GS3M",8.39,2021-02-24,2021-02-24
"19",1983-03-01,"GS3M",8.66,2021-02-24,2021-02-24
"20",1983-04-01,"GS3M",8.51,2021-02-24,2021-02-24
"21",1983-05-01,"GS3M",8.5,2021-02-24,2021-02-24
"22",1983-06-01,"GS3M",9.14,2021-02-24,2021-02-24
"23",1983-07-01,"GS3M",9.45,2021-02-24,2021-02-24
"24",1983-08-01,"GS3M",9.74,2021-02-24,2021-02-24
"25",1983-09-01,"GS3M",9.36,2021-02-24,2021-02-24
"26",1983-10-01,"GS3M",8.99,2021-02-24,2021-02-24
"27",1983-11-01,"GS3M",9.11,2021-02-24,2021-02-24
"28",1983-12-01,"GS3M",9.36,2021-02-24,2021-02-24
"29",1984-01-01,"GS3M",9.26,2021-02-24,2021-02-24
"30",1984-02-01,"GS3M",9.46,2021-02-24,2021-02-24
"31",1984-03-01,"GS3M",9.89,2021-02-24,2021-02-24
"32",1984-04-01,"GS3M",10.07,2021-02-24,2021-02-24
"33",1984-05-01,"GS3M",10.22,2021-02-24,2021-02-24
"34",1984-06-01,"GS3M",10.26,2021-02-24,2021-02-24
"35",1984-07-01,"GS3M",10.53,2021-02-24,2021-02-24
"36",1984-08-01,"GS3M",10.9,2021-02-24,2021-02-24
"37",1984-09-01,"GS3M",10.8,2021-02-24,2021-02-24
"38",1984-10-01,"GS3M",10.12,2021-02-24,2021-02-24
"39",1984-11-01,"GS3M",8.92,2021-02-24,2021-02-24
"40",1984-12-01,"GS3M",8.34,2021-02-24,2021-02-24
"41",1985-01-01,"GS3M",8.02,2021-02-24,2021-02-24
"42",1985-02-01,"GS3M",8.56,2021-02-24,2021-02-24
"43",1985-03-01,"GS3M",8.83,2021-02-24,2021-02-24
"44",1985-04-01,"GS3M",8.22,2021-02-24,2021-02-24
"45",1985-05-01,"GS3M",7.73,2021-02-24,2021-02-24
"46",1985-06-01,"GS3M",7.18,2021-02-24,2021-02-24
"47",1985-07-01,"GS3M",7.32,2021-02-24,2021-02-24
"48",1985-08-01,"GS3M",7.37,2021-02-24,2021-02-24
"49",1985-09-01,"GS3M",7.33,2021-02-24,2021-02-24
"50",1985-10-01,"GS3M",7.4,2021-02-24,2021-02-24
"51",1985-11-01,"GS3M",7.48,2021-02-24,2021-02-24
"52",1985-12-01,"GS3M",7.33,2021-02-24,2021-02-24
"53",1986-01-01,"GS3M",7.3,2021-02-24,2021-02-24
"54",1986-02-01,"GS3M",7.29,2021-02-24,2021-02-24
"55",1986-03-01,"GS3M",6.76,2021-02-24,2021-02-24
"56",1986-04-01,"GS3M",6.24,2021-02-24,2021-02-24
"57",1986-05-01,"GS3M",6.33,2021-02-24,2021-02-24
"58",1986-06-01,"GS3M",6.4,2021-02-24,2021-02-24
"59",1986-07-01,"GS3M",6,2021-02-24,2021-02-24
"60",1986-08-01,"GS3M",5.69,2021-02-24,2021-02-24
"61",1986-09-01,"GS3M",5.35,2021-02-24,2021-02-24
"62",1986-10-01,"GS3M",5.32,2021-02-24,2021-02-24
"63",1986-11-01,"GS3M",5.5,2021-02-24,2021-02-24
"64",1986-12-01,"GS3M",5.68,2021-02-24,2021-02-24
"65",1987-01-01,"GS3M",5.58,2021-02-24,2021-02-24
"66",1987-02-01,"GS3M",5.75,2021-02-24,2021-02-24
"67",1987-03-01,"GS3M",5.77,2021-02-24,2021-02-24
"68",1987-04-01,"GS3M",5.82,2021-02-24,2021-02-24
"69",1987-05-01,"GS3M",5.85,2021-02-24,2021-02-24
"70",1987-06-01,"GS3M",5.85,2021-02-24,2021-02-24
"71",1987-07-01,"GS3M",5.88,2021-02-24,2021-02-24
"72",1987-08-01,"GS3M",6.23,2021-02-24,2021-02-24
"73",1987-09-01,"GS3M",6.62,2021-02-24,2021-02-24
"74",1987-10-01,"GS3M",6.35,2021-02-24,2021-02-24
"75",1987-11-01,"GS3M",5.89,2021-02-24,2021-02-24
"76",1987-12-01,"GS3M",5.96,2021-02-24,2021-02-24
"77",1988-01-01,"GS3M",6,2021-02-24,2021-02-24
