"","date","series_id","value","realtime_start","realtime_end"
"1",1953-04-01,"GS10",2.83,2021-02-24,2021-02-24
"2",1953-05-01,"GS10",3.05,2021-02-24,2021-02-24
"3",1953-06-01,"GS10",3.11,2021-02-24,2021-02-24
"4",1953-07-01,"GS10",2.93,2021-02-24,2021-02-24
"5",1953-08-01,"GS10",2.95,2021-02-24,2021-02-24
"6",1953-09-01,"GS10",2.87,2021-02-24,2021-02-24
"7",1953-10-01,"GS10",2.66,2021-02-24,2021-02-24
"8",1953-11-01,"GS10",2.68,2021-02-24,2021-02-24
"9",1953-12-01,"GS10",2.59,2021-02-24,2021-02-24
"10",1954-01-01,"GS10",2.48,2021-02-24,2021-02-24
"11",1954-02-01,"GS10",2.47,2021-02-24,2021-02-24
"12",1954-03-01,"GS10",2.37,2021-02-24,2021-02-24
"13",1954-04-01,"GS10",2.29,2021-02-24,2021-02-24
"14",1954-05-01,"GS10",2.37,2021-02-24,2021-02-24
"15",1954-06-01,"GS10",2.38,2021-02-24,2021-02-24
"16",1954-07-01,"GS10",2.3,2021-02-24,2021-02-24
"17",1954-08-01,"GS10",2.36,2021-02-24,2021-02-24
"18",1954-09-01,"GS10",2.38,2021-02-24,2021-02-24
"19",1954-10-01,"GS10",2.43,2021-02-24,2021-02-24
"20",1954-11-01,"GS10",2.48,2021-02-24,2021-02-24
"21",1954-12-01,"GS10",2.51,2021-02-24,2021-02-24
"22",1955-01-01,"GS10",2.61,2021-02-24,2021-02-24
"23",1955-02-01,"GS10",2.65,2021-02-24,2021-02-24
"24",1955-03-01,"GS10",2.68,2021-02-24,2021-02-24
"25",1955-04-01,"GS10",2.75,2021-02-24,2021-02-24
"26",1955-05-01,"GS10",2.76,2021-02-24,2021-02-24
"27",1955-06-01,"GS10",2.78,2021-02-24,2021-02-24
"28",1955-07-01,"GS10",2.9,2021-02-24,2021-02-24
"29",1955-08-01,"GS10",2.97,2021-02-24,2021-02-24
"30",1955-09-01,"GS10",2.97,2021-02-24,2021-02-24
"31",1955-10-01,"GS10",2.88,2021-02-24,2021-02-24
"32",1955-11-01,"GS10",2.89,2021-02-24,2021-02-24
"33",1955-12-01,"GS10",2.96,2021-02-24,2021-02-24
"34",1956-01-01,"GS10",2.9,2021-02-24,2021-02-24
"35",1956-02-01,"GS10",2.84,2021-02-24,2021-02-24
"36",1956-03-01,"GS10",2.96,2021-02-24,2021-02-24
"37",1956-04-01,"GS10",3.18,2021-02-24,2021-02-24
"38",1956-05-01,"GS10",3.07,2021-02-24,2021-02-24
"39",1956-06-01,"GS10",3,2021-02-24,2021-02-24
"40",1956-07-01,"GS10",3.11,2021-02-24,2021-02-24
"41",1956-08-01,"GS10",3.33,2021-02-24,2021-02-24
"42",1956-09-01,"GS10",3.38,2021-02-24,2021-02-24
"43",1956-10-01,"GS10",3.34,2021-02-24,2021-02-24
"44",1956-11-01,"GS10",3.49,2021-02-24,2021-02-24
"45",1956-12-01,"GS10",3.59,2021-02-24,2021-02-24
"46",1957-01-01,"GS10",3.46,2021-02-24,2021-02-24
"47",1957-02-01,"GS10",3.34,2021-02-24,2021-02-24
"48",1957-03-01,"GS10",3.41,2021-02-24,2021-02-24
"49",1957-04-01,"GS10",3.48,2021-02-24,2021-02-24
"50",1957-05-01,"GS10",3.6,2021-02-24,2021-02-24
"51",1957-06-01,"GS10",3.8,2021-02-24,2021-02-24
"52",1957-07-01,"GS10",3.93,2021-02-24,2021-02-24
"53",1957-08-01,"GS10",3.93,2021-02-24,2021-02-24
"54",1957-09-01,"GS10",3.92,2021-02-24,2021-02-24
"55",1957-10-01,"GS10",3.97,2021-02-24,2021-02-24
"56",1957-11-01,"GS10",3.72,2021-02-24,2021-02-24
"57",1957-12-01,"GS10",3.21,2021-02-24,2021-02-24
"58",1958-01-01,"GS10",3.09,2021-02-24,2021-02-24
"59",1958-02-01,"GS10",3.05,2021-02-24,2021-02-24
"60",1958-03-01,"GS10",2.98,2021-02-24,2021-02-24
"61",1958-04-01,"GS10",2.88,2021-02-24,2021-02-24
"62",1958-05-01,"GS10",2.92,2021-02-24,2021-02-24
"63",1958-06-01,"GS10",2.97,2021-02-24,2021-02-24
"64",1958-07-01,"GS10",3.2,2021-02-24,2021-02-24
"65",1958-08-01,"GS10",3.54,2021-02-24,2021-02-24
"66",1958-09-01,"GS10",3.76,2021-02-24,2021-02-24
"67",1958-10-01,"GS10",3.8,2021-02-24,2021-02-24
